Сегмент;Регион;Бренд;Уровень скидки;Продано шт.;Затраты на ед.;Цена продажи;Валовая выручка;Сумма скидок;Выручка;Себестоимость продаж;Прибыль;Дата;Номер месяца;Название месяца;Год
Партнёрский канал;Нижний Новгород;Победа;Без скидки;6430;64,89;136,15;875444,5;0;875444,5;392685,11;482759,39;06.07.2022;7;Июль;2022
Госсектор;Санкт-Петербург;Сударушка;Средняя;11649;86,99;121,58;1416285,42;169954,25;1246331,17;938150,44;308180,73;16.08.2024;8;Август;2024
Партнёрский канал;Новосибирск;Победа;Высокая;11645;66,87;124,46;1449336,7;318854,07;1130482,63;735433,74;395048,89;01.07.2023;7;Июль;2023
Средний бизнес;Санкт-Петербург;Красная Шапочка;Без скидки;3091;120,41;248,69;768700,79;0;768700,79;366642,59;402058,2;24.06.2023;6;Июнь;2023
Партнёрский канал;Казань;Победа;Высокая;10744;65,2;119,26;1281329,44;281892,48;999436,96;667638,42;331798,54;10.11.2022;11;Ноябрь;2022
Средний бизнес;Казань;Победа;Высокая;10313;77,92;106,33;1096581,29;241247,88;855333,41;796751,89;58581,52;22.09.2023;9;Сентябрь;2023
Крупный бизнес;Москва;Сударушка;Высокая;1903;96,32;188,98;359628,94;79118,37;280510,57;182812,71;97697,86;26.12.2024;12;Декабрь;2024
Крупный бизнес;Казань;Вдохновение;Без скидки;9507;313,57;547,42;5204321,94;0;5204321,94;2840375,57;2363946,37;10.03.2023;3;Март;2023
Партнёрский канал;Екатеринбург;Вдохновение;Низкая;7037;289,97;532,79;3749243,23;187462,16;3561781,07;1902930,8;1658850,27;25.11.2024;11;Ноябрь;2024
Малый бизнес;Санкт-Петербург;Сударушка;Средняя;1549;105,37;188,74;292358,26;35082,99;257275,27;148139,02;109136,25;28.03.2023;3;Март;2023
Госсектор;Санкт-Петербург;Вдохновение;Высокая;4250;286,76;393,88;1673990;368277,8;1305712,2;1120806,77;184905,43;18.11.2024;11;Ноябрь;2024
Крупный бизнес;Новосибирск;Вдохновение;Без скидки;4010;320,75;607,02;2434150,2;0;2434150,2;1268053,93;1166096,27;26.08.2024;8;Август;2024
Крупный бизнес;Владивосток;Бабаевский;Средняя;2045;204,92;342,89;701210,05;84145,21;617064,84;390074,69;226990,15;14.08.2024;8;Август;2024
Госсектор;Санкт-Петербург;Аленка;Без скидки;6059;126,44;181,06;1097042,54;0;1097042,54;691781,22;405261,32;07.07.2024;7;Июль;2024
Крупный бизнес;Нижний Новгород;Сударушка;Низкая;8079;93,57;191,11;1543977,69;77198,88;1466778,81;705436,06;761342,75;20.07.2022;7;Июль;2022
Госсектор;Москва;Аленка;Средняя;3224;123,5;211,31;681263,44;81751,61;599511,83;391697,04;207814,79;01.05.2022;5;Май;2022
Крупный бизнес;Нижний Новгород;Аленка;Без скидки;4845;138,45;268,43;1300543,35;0;1300543,35;613256,51;687286,84;23.09.2024;9;Сентябрь;2024
Крупный бизнес;Екатеринбург;Красная Шапочка;Средняя;1458;115,55;202,98;295944,84;35513,38;260431,46;163376,82;97054,64;28.04.2022;4;Апрель;2022
Госсектор;Владивосток;Победа;Средняя;1431;70,91;99,99;143085,69;17170,28;125915,41;91558,27;34357,14;20.05.2022;5;Май;2022
Крупный бизнес;Нижний Новгород;Аленка;Средняя;9985;135,77;246,36;2459904,6;295188,55;2164716,05;1261183,18;903532,87;06.12.2024;12;Декабрь;2024
Средний бизнес;Новосибирск;Сударушка;Низкая;4410;98,35;142,43;628116,3;31405,82;596710,48;415272,94;181437,54;25.07.2024;7;Июль;2024
Средний бизнес;Санкт-Петербург;Аленка;Без скидки;10677;145,99;306,15;3268763,55;0;3268763,55;1385390,29;1883373,26;13.03.2023;3;Март;2023
Партнёрский канал;Новосибирск;Сударушка;Низкая;1627;85,5;139,12;226348,24;11317,41;215030,83;125048,75;89982,08;12.09.2023;9;Сентябрь;2023
Партнёрский канал;Москва;Вдохновение;Низкая;11368;274,9;552,16;6276954,88;313847,74;5963107,14;2849232,34;3113874,8;08.08.2022;8;Август;2022
Партнёрский канал;Казань;Красная Шапочка;Низкая;10409;99,44;159,82;1663566,38;83178,32;1580388,06;996255,44;584132,62;25.06.2023;6;Июнь;2023
Партнёрский канал;Владивосток;Красная Шапочка;Высокая;2012;102,02;201,18;404774,16;89050,32;315723,84;181718,46;134005,38;15.11.2023;11;Ноябрь;2023
Крупный бизнес;Новосибирск;Сударушка;Без скидки;9538;96,17;170,29;1624226,02;0;1624226,02;819511,34;804714,68;02.11.2022;11;Ноябрь;2022
Партнёрский канал;Москва;Красная Шапочка;Средняя;7541;98,94;156,44;1179714,04;141565,68;1038148,36;737062,07;301086,29;23.03.2022;3;Март;2022
Средний бизнес;Екатеринбург;Вдохновение;Средняя;11427;327,99;634,69;7252602,63;870312,32;6382290,31;3695830,96;2686459,35;12.04.2024;4;Апрель;2024
Партнёрский канал;Казань;Сударушка;Средняя;3400;85,51;117,03;397902;47748,24;350153,76;281543,24;68610,52;12.11.2023;11;Ноябрь;2023
Малый бизнес;Екатеринбург;Красная Шапочка;Средняя;11989;125,77;252,06;3021947,34;362633,68;2659313,66;1482270;1177043,66;01.04.2023;4;Апрель;2023
Крупный бизнес;Владивосток;Красная Шапочка;Низкая;4228;113,09;208,65;882172,2;44108,61;838063,59;443630,1;394433,49;25.07.2023;7;Июль;2023
Госсектор;Новосибирск;Красная Шапочка;Без скидки;11633;108,85;190,72;2218645,76;0;2218645,76;1257019,12;961626,64;25.08.2022;8;Август;2022
Средний бизнес;Казань;Победа;Низкая;1126;76,9;128,88;145118,88;7255,94;137862,94;83768,79;54094,15;05.10.2023;10;Октябрь;2023
Малый бизнес;Санкт-Петербург;Бабаевский;Средняя;4673;228,77;383,66;1792843,18;215141,18;1577702;1007455,16;570246,84;08.02.2023;2;Февраль;2023
Средний бизнес;Нижний Новгород;Аленка;Низкая;10709;140,17;278,38;2981171,42;149058,57;2832112,85;1450599,96;1381512,89;08.09.2023;9;Сентябрь;2023
Партнёрский канал;Новосибирск;Вдохновение;Без скидки;5844;279,95;440,01;2571418,44;0;2571418,44;1464694,03;1106724,41;11.05.2024;5;Май;2024
Малый бизнес;Казань;Победа;Низкая;7153;84,24;113,75;813653,75;40682,69;772971,06;551006,7;221964,36;30.05.2024;5;Май;2024
Партнёрский канал;Краснодар;Бабаевский;Без скидки;7744;186,75;323,71;2506810,24;0;2506810,24;1410396,21;1096414,03;14.12.2022;12;Декабрь;2022
Госсектор;Новосибирск;Победа;Низкая;2030;70,32;134,55;273136,5;13656,83;259479,67;137144,61;122335,06;06.04.2023;4;Апрель;2023
Крупный бизнес;Казань;Аленка;Высокая;4511;138,92;251,23;1133298,53;249325,68;883972,85;609258,48;274714,37;21.07.2024;7;Июль;2024
Малый бизнес;Екатеринбург;Вдохновение;Без скидки;8599;356,24;520,35;4474489,65;0;4474489,65;2948478,72;1526010,93;07.08.2022;8;Август;2022
Малый бизнес;Екатеринбург;Сударушка;Без скидки;1322;106,77;217,61;287680,42;0;287680,42;126267,52;161412,9;01.10.2022;10;Октябрь;2022
Малый бизнес;Краснодар;Бабаевский;Без скидки;9476;234,44;344,48;3264292,48;0;3264292,48;2184629,86;1079662,62;10.07.2024;7;Июль;2024
Средний бизнес;Екатеринбург;Вдохновение;Низкая;9040;335,69;513,42;4641316,8;232065,84;4409250,96;2830663,56;1578587,4;09.08.2023;8;Август;2023
Крупный бизнес;Новосибирск;Красная Шапочка;Низкая;9349;112,11;164,03;1533516,47;76675,82;1456840,65;970518,29;486322,36;09.11.2022;11;Ноябрь;2022
Крупный бизнес;Санкт-Петербург;Бабаевский;Без скидки;5921;210,54;349,88;2071639,48;0;2071639,48;1127955,41;943684,07;10.05.2024;5;Май;2024
Малый бизнес;Москва;Победа;Без скидки;8314;81,51;131,54;1093623,56;0;1093623,56;657626,52;435997,04;08.05.2024;5;Май;2024
Партнёрский канал;Екатеринбург;Бабаевский;Средняя;4971;184,09;252,53;1255326,63;150639,2;1104687,43;842209,54;262477,89;08.04.2024;4;Апрель;2024
Крупный бизнес;Владивосток;Сударушка;Высокая;6955;95,52;176,45;1227209,75;269986,15;957223,6;591312,98;365910,62;27.05.2024;5;Май;2024
Крупный бизнес;Владивосток;Сударушка;Высокая;4762;94,31;142,29;677584,98;149068,7;528516,28;412826,25;115690,03;16.02.2024;2;Февраль;2024
Средний бизнес;Нижний Новгород;Красная Шапочка;Высокая;8205;117,27;205,76;1688260,8;371417,38;1316843,42;962189,71;354653,71;18.12.2023;12;Декабрь;2023
Крупный бизнес;Санкт-Петербург;Вдохновение;Высокая;1008;328,63;492,79;496732,32;109281,11;387451,21;292318,08;95133,13;09.11.2022;11;Ноябрь;2022
Крупный бизнес;Казань;Бабаевский;Высокая;9740;215,64;366,32;3567956,8;784950,5;2783006,3;1912877,24;870129,06;26.01.2024;1;Январь;2024
Крупный бизнес;Санкт-Петербург;Сударушка;Низкая;2271;95,45;195,35;443639,85;22181,99;421457,86;205732,56;215725,3;08.02.2024;2;Февраль;2024
Малый бизнес;Екатеринбург;Аленка;Средняя;2169;152,99;241,14;523032,66;62763,92;460268,74;319262,43;141006,31;05.09.2022;9;Сентябрь;2022
Партнёрский канал;Москва;Красная Шапочка;Без скидки;11338;100,41;173,66;1968957,08;0;1968957,08;1048451,65;920505,43;10.05.2024;5;Май;2024
Малый бизнес;Санкт-Петербург;Бабаевский;Низкая;10913;240,73;407,99;4452394,87;222619,74;4229775,13;2360066,63;1869708,5;27.12.2022;12;Декабрь;2022
Партнёрский канал;Новосибирск;Победа;Без скидки;8116;65,74;124,79;1012795,64;0;1012795,64;486704,5;526091,14;18.05.2023;5;Май;2023
Госсектор;Новосибирск;Бабаевский;Средняя;8113;194,01;359,14;2913702,82;349644,34;2564058,48;1448661,47;1115397,01;09.10.2024;10;Октябрь;2024
Средний бизнес;Казань;Бабаевский;Средняя;6313;224,44;360,28;2274447,64;272933,72;2001513,92;1396540,91;604973,01;20.07.2023;7;Июль;2023
Партнёрский канал;Москва;Победа;Средняя;1902;64,98;107,53;204522,06;24542,65;179979,41;116994,76;62984,65;08.05.2023;5;Май;2023
Малый бизнес;Владивосток;Бабаевский;Высокая;2024;232,3;384,06;777337,44;171014,24;606323,2;427481,7;178841,5;26.01.2024;1;Январь;2024
Малый бизнес;Краснодар;Бабаевский;Низкая;6264;238,06;369,75;2316114;115805,7;2200308,3;1357250,32;843057,98;05.09.2022;9;Сентябрь;2022
Крупный бизнес;Краснодар;Аленка;Средняя;3638;132,7;227,33;827026,54;99243,18;727783,36;466807,39;260975,97;10.12.2024;12;Декабрь;2024
Партнёрский канал;Новосибирск;Аленка;Средняя;5353;116,86;173,49;928691,97;111443,04;817248,93;551547,45;265701,48;29.12.2024;12;Декабрь;2024
Крупный бизнес;Новосибирск;Аленка;Высокая;9566;133,32;274,38;2624719,08;577438,2;2047280,88;1219918,44;827362,44;02.10.2024;10;Октябрь;2024
Госсектор;Москва;Победа;Низкая;8190;68,91;110,64;906141,6;45307,08;860834,52;562036,24;298798,28;02.06.2023;6;Июнь;2023
Малый бизнес;Санкт-Петербург;Аленка;Без скидки;8556;147,34;268,47;2297029,32;0;2297029,32;1117473,93;1179555,39;02.11.2022;11;Ноябрь;2022
Партнёрский канал;Новосибирск;Аленка;Средняя;2440;119,21;198,14;483461,6;58015,39;425446,21;276775,33;148670,88;08.04.2023;4;Апрель;2023
Партнёрский канал;Нижний Новгород;Бабаевский;Без скидки;5371;188,79;395,05;2121813,55;0;2121813,55;929470,5;1192343,05;04.05.2022;5;Май;2022
Партнёрский канал;Санкт-Петербург;Сударушка;Средняя;4835;84,4;123,88;598959,8;71875,18;527084,62;367616,57;159468,05;03.06.2022;6;Июнь;2022
Крупный бизнес;Москва;Бабаевский;Без скидки;11794;211,18;331,22;3906408,68;0;3906408,68;2260961,44;1645447,24;03.08.2023;8;Август;2023
Малый бизнес;Санкт-Петербург;Вдохновение;Средняя;4834;364,59;663,11;3205473,74;384656,85;2820816,89;1690771,2;1130045,69;10.02.2023;2;Февраль;2023
Малый бизнес;Санкт-Петербург;Победа;Средняя;11110;82,23;127,39;1415302,9;169836,35;1245466,55;819539,49;425927,06;03.05.2022;5;Май;2022
Крупный бизнес;Новосибирск;Победа;Низкая;7695;73,31;136,83;1052906,85;52645,34;1000261,51;543794,09;456467,42;12.07.2023;7;Июль;2023
Партнёрский канал;Владивосток;Бабаевский;Высокая;10298;179,7;300,82;3097844,36;681525,76;2416318,6;1700061,22;716257,38;28.05.2023;5;Май;2023
Госсектор;Санкт-Петербург;Сударушка;Высокая;11514;89,09;158,77;1828077,78;402177,11;1425900,67;996622,43;429278,24;25.12.2022;12;Декабрь;2022
Малый бизнес;Владивосток;Красная Шапочка;Средняя;10090;128,3;251,56;2538240,4;304588,85;2233651,55;1289739,87;943911,68;20.08.2024;8;Август;2024
Средний бизнес;Нижний Новгород;Красная Шапочка;Низкая;11479;117,89;173,37;1990114,23;99505,71;1890608,52;1257715,7;632892,82;11.10.2024;10;Октябрь;2024
Средний бизнес;Нижний Новгород;Победа;Высокая;7951;76,8;118,22;939967,22;206792,79;733174,43;545854,7;187319,73;07.04.2024;4;Апрель;2024
Партнёрский канал;Москва;Вдохновение;Без скидки;7270;274,07;476,56;3464591,2;0;3464591,2;1902261,16;1562330,04;17.10.2024;10;Октябрь;2024
Малый бизнес;Москва;Сударушка;Низкая;9498;104,04;162,93;1547509,14;77375,46;1470133,68;974042,64;496091,04;19.09.2024;9;Сентябрь;2024
Госсектор;Москва;Вдохновение;Средняя;3094;291,06;395,92;1224976,48;146997,18;1077979,3;836564,3;241415;06.04.2023;4;Апрель;2023
Госсектор;Владивосток;Аленка;Средняя;8665;127,42;199,91;1732220,15;207866,42;1524353,73;1065063,9;459289,83;30.04.2024;4;Апрель;2024
Малый бизнес;Владивосток;Сударушка;Без скидки;9531;104,13;155,46;1481689,26;0;1481689,26;944750,68;536938,58;07.10.2022;10;Октябрь;2022
Госсектор;Новосибирск;Бабаевский;Низкая;8818;190,5;257,54;2270987,72;113549,39;2157438,33;1624606,5;532831,83;29.09.2024;9;Сентябрь;2024
Крупный бизнес;Владивосток;Победа;Без скидки;6154;74,25;142,72;878298,88;0;878298,88;422785,59;455513,29;22.10.2023;10;Октябрь;2023
Крупный бизнес;Екатеринбург;Победа;Без скидки;4326;76,6;127,01;549445,26;0;549445,26;304259,16;245186,1;26.08.2024;8;Август;2024
Малый бизнес;Нижний Новгород;Вдохновение;Средняя;8615;368,4;532,22;4585075,3;550209,04;4034866,26;3160570,85;874295,41;11.11.2023;11;Ноябрь;2023
Госсектор;Владивосток;Аленка;Без скидки;751;125,86;208,61;156666,11;0;156666,11;90605,22;66060,89;13.11.2022;11;Ноябрь;2022
Госсектор;Владивосток;Красная Шапочка;Низкая;10711;107,02;196,64;2106211,04;105310,55;2000900,49;1125900,8;874999,69;28.12.2024;12;Декабрь;2024
Малый бизнес;Краснодар;Вдохновение;Без скидки;9364;348,42;488,25;4571973;0;4571973;3118199,78;1453773,22;12.08.2023;8;Август;2023
Крупный бизнес;Санкт-Петербург;Бабаевский;Высокая;10883;212,57;302,99;3297440,17;725436,84;2572003,33;2081975,57;490027,76;06.09.2023;9;Сентябрь;2023
Госсектор;Москва;Красная Шапочка;Высокая;5306;104,9;175,5;931203;204864,66;726338,34;506117,89;220220,45;23.04.2024;4;Апрель;2024
Партнёрский канал;Казань;Сударушка;Средняя;1793;84,15;137,75;246985,75;29638,29;217347,46;145143,88;72203,58;16.10.2024;10;Октябрь;2024
Партнёрский канал;Казань;Сударушка;Без скидки;10951;82,37;126,97;1390448,47;0;1390448,47;794807,02;595641,45;10.08.2024;8;Август;2024
Средний бизнес;Казань;Аленка;Без скидки;6161;145,9;229,7;1415181,7;0;1415181,7;894794,1;520387,6;28.05.2023;5;Май;2023
Малый бизнес;Новосибирск;Сударушка;Без скидки;8416;103,89;169,97;1430467,52;0;1430467,52;807079,86;623387,66;29.08.2023;8;Август;2023
Средний бизнес;Москва;Вдохновение;Без скидки;4997;326,08;651,77;3256894,69;0;3256894,69;1586074,89;1670819,8;11.04.2022;4;Апрель;2022
Партнёрский канал;Владивосток;Красная Шапочка;Средняя;10446;103,03;156,01;1629680,46;195561,66;1434118,8;971656,79;462462,01;29.05.2023;5;Май;2023
Крупный бизнес;Санкт-Петербург;Вдохновение;Высокая;5561;325,54;447,63;2489270,43;547639,49;1941630,94;1672350,81;269280,13;27.09.2022;9;Сентябрь;2022
Госсектор;Новосибирск;Красная Шапочка;Без скидки;3377;103,9;201,55;680634,35;0;680634,35;345668,74;334965,61;20.01.2024;1;Январь;2024
Партнёрский канал;Новосибирск;Сударушка;Низкая;8394;85,94;135,04;1133525,76;56676,29;1076849,47;710161,19;366688,28;24.08.2022;8;Август;2022
Малый бизнес;Санкт-Петербург;Сударушка;Средняя;11580;107,83;224,82;2603415,6;312409,87;2291005,73;1243767,08;1047238,65;20.01.2024;1;Январь;2024
Госсектор;Нижний Новгород;Аленка;Низкая;9291;121,39;197,43;1834322,13;91716,11;1742606,02;1093865,69;648740,33;21.06.2023;6;Июнь;2023
Партнёрский канал;Нижний Новгород;Вдохновение;Низкая;2275;284,55;484,76;1102829;55141,45;1047687,55;617796,83;429890,72;03.11.2023;11;Ноябрь;2023
Партнёрский канал;Екатеринбург;Вдохновение;Высокая;10910;287,07;583,34;6364239,4;1400132,67;4964106,73;2869674,41;2094432,32;16.04.2024;4;Апрель;2024
Госсектор;Казань;Аленка;Высокая;5486;127,9;183,8;1008326,8;221831,9;786494,9;637230,23;149264,67;05.10.2022;10;Октябрь;2022
Малый бизнес;Владивосток;Красная Шапочка;Без скидки;10122;130,67;191,55;1938869,1;0;1938869,1;1229773,96;709095,14;22.07.2022;7;Июль;2022
Малый бизнес;Нижний Новгород;Красная Шапочка;Высокая;11809;127,8;215,03;2539289,27;558643,64;1980645,63;1500235,6;480410,03;13.01.2024;1;Январь;2024
Госсектор;Краснодар;Победа;Низкая;1492;68,58;102,35;152706,2;7635,31;145070,89;91542,74;53528,15;20.07.2024;7;Июль;2024
Госсектор;Екатеринбург;Вдохновение;Высокая;1328;299,47;458,99;609538,72;134098,52;475440,2;355982,15;119458,05;25.02.2023;2;Февраль;2023
Госсектор;Екатеринбург;Победа;Средняя;4317;68,29;99,75;430620,75;51674,49;378946,26;291289,02;87657,24;06.01.2022;1;Январь;2022
Средний бизнес;Казань;Сударушка;Низкая;3358;97,42;194,82;654205,56;32710,28;621495,28;293054,11;328441,17;04.01.2024;1;Январь;2024
Крупный бизнес;Краснодар;Аленка;Средняя;4847;131,37;250,43;1213834,21;145660,11;1068174,1;600538,56;467635,54;11.05.2022;5;Май;2022
Малый бизнес;Владивосток;Красная Шапочка;Высокая;7905;128,83;265,27;2096959,35;461331,06;1635628,29;901492,57;734135,72;03.12.2024;12;Декабрь;2024
Средний бизнес;Владивосток;Вдохновение;Высокая;1496;346,05;687,07;1027856,72;226128,48;801728,24;482049,26;319678,98;10.08.2022;8;Август;2022
Малый бизнес;Владивосток;Аленка;Высокая;5777;152,18;212,94;1230154,38;270633,96;959520,42;802660,03;156860,39;28.10.2023;10;Октябрь;2023
Малый бизнес;Новосибирск;Бабаевский;Без скидки;2124;239,34;343,65;729912,6;0;729912,6;487294,62;242617,98;17.03.2023;3;Март;2023
Малый бизнес;Владивосток;Сударушка;Без скидки;6053;108,49;178,91;1082942,23;0;1082942,23;635382,68;447559,55;03.10.2023;10;Октябрь;2023
Малый бизнес;Краснодар;Вдохновение;Низкая;6632;368,15;686,64;4553796,48;227689,82;4326106,66;2287537,34;2038569,32;06.07.2022;7;Июль;2022
Госсектор;Санкт-Петербург;Бабаевский;Высокая;6605;196,81;347,82;2297351,1;505417,24;1791933,86;1235422,07;556511,79;07.11.2023;11;Ноябрь;2023
Госсектор;Нижний Новгород;Красная Шапочка;Без скидки;1342;108,77;195,82;262790,44;0;262790,44;134612,57;128177,87;05.11.2024;11;Ноябрь;2024
Крупный бизнес;Казань;Вдохновение;Без скидки;4174;326,67;526,78;2198779,72;0;2198779,72;1290915,64;907864,08;24.08.2022;8;Август;2022
Средний бизнес;Екатеринбург;Бабаевский;Высокая;10477;226,18;446,05;4673265,85;1028118,49;3645147,36;2161377,43;1483769,93;05.01.2023;1;Январь;2023
Средний бизнес;Новосибирск;Красная Шапочка;Низкая;600;118,44;172,62;103572;5178,6;98393,4;68141,94;30251,46;23.05.2022;5;Май;2022
Крупный бизнес;Москва;Аленка;Средняя;6663;134,35;215,72;1437342,36;172481,08;1264861,28;827504,6;437356,68;27.10.2023;10;Октябрь;2023
Партнёрский канал;Санкт-Петербург;Аленка;Средняя;3079;120,61;167,32;515178,28;61821,39;453356,89;330430,72;122926,17;26.06.2024;6;Июнь;2024
Малый бизнес;Владивосток;Победа;Без скидки;7285;82,86;158,78;1156712,3;0;1156712,3;539443,4;617268,9;30.05.2024;5;Май;2024
Госсектор;Новосибирск;Вдохновение;Без скидки;9133;297,35;411,55;3758686,15;0;3758686,15;2518623,74;1240062,41;23.04.2022;4;Апрель;2022
Госсектор;Екатеринбург;Красная Шапочка;Средняя;2748;107,48;168,43;462845,64;55541,48;407304,16;264164,99;143139,17;15.10.2024;10;Октябрь;2024
Малый бизнес;Казань;Сударушка;Без скидки;9225;107,7;185,8;1714005;0;1714005;973664,34;740340,66;27.12.2023;12;Декабрь;2023
Госсектор;Нижний Новгород;Вдохновение;Высокая;7647;285,9;583,49;4461948,03;981628,57;3480319,46;2150101,41;1330218,05;29.05.2024;5;Май;2024
Партнёрский канал;Нижний Новгород;Вдохновение;Без скидки;5243;275,1;375,69;1969742,67;0;1969742,67;1325478,88;644263,79;31.07.2024;7;Июль;2024
Средний бизнес;Санкт-Петербург;Бабаевский;Высокая;4486;219,65;362,5;1626175;357758,5;1268416,5;876407,3;392009,2;28.09.2023;9;Сентябрь;2023
Средний бизнес;Екатеринбург;Красная Шапочка;Средняя;1751;120,83;173,45;303710,95;36445,31;267265,64;199131,6;68134,04;17.12.2023;12;Декабрь;2023
Средний бизнес;Казань;Сударушка;Высокая;2899;98,29;145,48;421746,52;92784,23;328962,29;255976,68;72985,61;04.06.2022;6;Июнь;2022
Крупный бизнес;Владивосток;Бабаевский;Без скидки;11659;215,34;381,88;4452338,92;0;4452338,92;2400772,51;2051566,41;24.10.2023;10;Октябрь;2023
Средний бизнес;Казань;Бабаевский;Высокая;8182;219,74;346,56;2835553,92;623821,86;2211732,06;1641423,87;570308,19;26.04.2022;4;Апрель;2022
Средний бизнес;Санкт-Петербург;Красная Шапочка;Без скидки;7904;117,4;190,96;1509347,84;0;1509347,84;848544,52;660803,32;04.07.2022;7;Июль;2022
Партнёрский канал;Нижний Новгород;Бабаевский;Высокая;7868;189,34;336,79;2649863,72;582970,02;2066893,7;1344610,92;722282,78;01.09.2024;9;Сентябрь;2024
Партнёрский канал;Казань;Аленка;Без скидки;2195;121,02;239,38;525439,1;0;525439,1;265077,41;260361,69;22.06.2022;6;Июнь;2022
Партнёрский канал;Казань;Аленка;Средняя;7672;122,3;213,18;1635516,96;196262,04;1439254,92;894351,92;544903;16.01.2024;1;Январь;2024
Средний бизнес;Новосибирск;Бабаевский;Без скидки;6043;222,87;309,63;1871094,09;0;1871094,09;1287148,62;583945,47;17.11.2023;11;Ноябрь;2023
Госсектор;Краснодар;Аленка;Без скидки;5155;122,35;243,31;1254263,05;0;1254263,05;628020,6;626242,45;04.11.2022;11;Ноябрь;2022
Средний бизнес;Санкт-Петербург;Победа;Средняя;6231;77,85;143,4;893525,4;107223,05;786302,35;465416,24;320886,11;22.09.2022;9;Сентябрь;2022
Партнёрский канал;Санкт-Петербург;Красная Шапочка;Без скидки;11042;102,97;201,81;2228386,02;0;2228386,02;1091985,63;1136400,39;14.12.2024;12;Декабрь;2024
Госсектор;Нижний Новгород;Победа;Низкая;798;68,43;101,63;81100,74;4055,04;77045,7;49457,86;27587,84;22.09.2024;9;Сентябрь;2024
Крупный бизнес;Екатеринбург;Сударушка;Средняя;1764;93,84;182,15;321312,6;38557,51;282755,09;155754,48;127000,61;14.12.2024;12;Декабрь;2024
Госсектор;Краснодар;Победа;Средняя;10285;68,49;100,8;1036728;124407,36;912320,64;690163,19;222157,45;06.12.2022;12;Декабрь;2022
Малый бизнес;Москва;Бабаевский;Низкая;11581;238,3;494,99;5732479,19;286623,96;5445855,23;2630793,08;2815062,15;08.07.2024;7;Июль;2024
Крупный бизнес;Екатеринбург;Красная Шапочка;Без скидки;3678;114,09;235,07;864587,46;0;864587,46;418839,49;445747,97;03.08.2024;8;Август;2024
Средний бизнес;Нижний Новгород;Победа;Без скидки;3155;80,25;156,56;493946,8;0;493946,8;227011,01;266935,79;28.05.2023;5;Май;2023
Госсектор;Владивосток;Красная Шапочка;Высокая;8952;108,03;168,94;1512350,88;332717,19;1179633,69;939594,23;240039,46;13.07.2023;7;Июль;2023
Малый бизнес;Казань;Бабаевский;Высокая;4137;239,67;482,57;1996392,09;439206,26;1557185,83;983242,22;573943,61;29.04.2024;4;Апрель;2024
Госсектор;Нижний Новгород;Победа;Низкая;4362;68,53;96,71;421849,02;21092,45;400756,57;271111,02;129645,55;15.10.2023;10;Октябрь;2023
Госсектор;Краснодар;Сударушка;Средняя;1127;86,28;170,17;191781,59;23013,79;168767,8;93691,17;75076,63;12.10.2022;10;Октябрь;2022
Малый бизнес;Владивосток;Победа;Высокая;1798;81,58;123,33;221747,34;48784,41;172962,93;131710,94;41251,99;16.12.2024;12;Декабрь;2024
Малый бизнес;Санкт-Петербург;Красная Шапочка;Средняя;5434;125,88;192,45;1045773,3;125492,8;920280,5;654395,7;265884,8;25.07.2024;7;Июль;2024
